HasURL,URLCount,FreeEmail,SubjectLength,BodyLength,KeywordCount,Label
1,1,0,25,273,0,1
1,1,0,22,82,0,1
1,24,0,20,3918,0,1
1,142,0,150,24415,0,0
1,1,0,26,175,0,1
0,0,0,20,93,0,1
0,0,0,15,115,0,1
1,24,0,20,3918,0,1
1,1,0,87,450,0,0
1,24,0,20,3918,0,1
1,2,0,19,497,2,1
1,1,0,101,386,0,1
1,24,0,20,3918,0,1
1,24,0,20,3896,0,1
1,1,0,19,673,0,1
1,1,0,37,2040,0,0
1,24,0,20,3896,0,1
1,24,0,20,3897,0,1
1,11,0,68,10830,0,0
1,10,0,47,13432,2,0
1,4,0,28,1204,1,0
0,0,0,59,4160,0,0
1,1,0,33,865,0,0
1,1,0,61,1845,1,0
0,0,0,37,425,1,0
0,0,0,24,68,0,1
1,1,0,10,96,0,1
0,0,0,26,3154,2,0
1,1,0,42,65,0,1
0,0,0,34,567,0,1
1,24,0,20,4226,0,1
0,0,0,17,267,0,1
1,1,0,29,341,1,1
0,0,0,39,2099,0,0
1,1,0,49,887,1,0
1,24,0,20,3894,0,1
1,1,0,43,82,0,1
0,0,0,40,174,1,1
1,1,0,96,969,0,0
1,1,0,28,297,0,1
0,0,0,38,279,1,1
1,24,0,20,3918,0,1
0,0,0,42,438,0,1
1,3,0,55,1521,1,0
1,1,0,35,778,1,0
0,0,0,26,2346,1,0
1,1,0,31,97,0,1
0,0,0,28,3018,1,0
1,24,0,20,3892,0,1
1,24,0,20,3918,0,1
1,4,0,29,1784,0,0
0,0,0,37,799,1,0
0,0,0,56,938,0,0
1,1,0,86,860,0,0
1,3,0,45,1209,0,0
1,3,0,71,1764,0,0
1,28,0,81,12338,1,0
1,3,0,114,2341,0,0
0,0,0,55,67,0,1
1,4,0,66,1689,0,0
0,0,0,34,765,0,0
1,1,0,52,321,0,1
0,0,0,40,214,1,1
1,2,1,49,1126,0,0
1,1,0,18,272,0,1
1,2,0,86,1470,0,0
0,0,0,26,57,0,1
1,24,0,20,3918,0,1
0,0,0,22,319,0,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,64,476,1,1
1,1,0,48,183,0,1
1,3,1,56,6468,1,0
1,1,0,19,163,0,1
1,24,0,20,3918,0,1
1,1,0,30,307,0,1
1,2,0,73,1174,0,0
1,1,0,20,155,0,1
1,24,0,20,3918,0,1
1,1,0,24,150,0,1
1,1,0,15,154,0,1
0,0,0,14,276,0,1
0,0,0,40,975,0,0
1,1,0,27,258,0,1
1,24,0,20,3918,0,1
1,1,0,35,290,1,1
1,1,0,31,104,0,1
0,0,0,46,489,0,0
0,0,0,16,218,1,1
1,24,0,20,3918,0,1
0,0,0,45,4676,0,0
1,4,1,60,7236,1,0
1,2,0,60,868,0,0
1,24,0,20,3894,0,1
1,2,0,60,651,0,0
1,3,1,60,1266,0,0
1,2,0,99,1299,0,0
0,0,1,66,1110,2,0
0,0,0,80,71,0,0
1,1,0,30,170,0,1
1,11,0,33,13136,2,0
0,0,0,26,789,2,1
1,2,0,7,494,2,1
1,24,0,20,3918,0,1
1,24,0,20,3918,0,1
1,1,0,54,67,0,1
